English Title,Chinese Title,Overview,Prompt_Response
The Taking of Tiger Mountain,智取威虎山,"Yang Zirong disguises himself as a bandit to infiltrate and destroy a bandit group. He joins hands with a hostage, and together, they fight against the warlord, Hawk.",Taking Tiger Mountain by Strategy
The Monkey King 3,西游记·女儿国,"The Monkey King and his friends try to break free from a ruler that takes them hostage. However, their exploits provoke the anger of a deity that decides to punish them for their actions.",Journey to the West: Kingdom of Women
The Queen,封神：妲己,"The nine-tailed queen of the fox tribe is graceful and beautiful, but unfortunately, she fell into the hands of Yuan Hong, the boss of the seven monkey monsters of Meishan. She was rescued by Jiang Ziya, but Jiang Ziya also cut off one of her tails. The desperate Nine Tails, under the guidance of Empress Nuwa, posessed Daji and became the daughter of Ho Suhu in Jizhou. Before long, King Zhou led an army to attack Jizhou, to thank her father, Da Jihu went into battle by herself, but was captured by King Zhou. The two talked about the way of war by the river. Daji's insights deeply convinced King Zhou and he fell in love with her. That night King Zhou asked Suhu for the permission to marry Daji, and Daji became the empress of the Shang Dynasty, yet, that's when the chaos in the world world began.",The Investiture of the Gods: Daji
Beginning of the Great Revival,建党伟业,A chronicle of the events that led to the founding of the Chinese Communist Party.,The Founding of a Party
King of the New Beggars,武状元苏乞儿之天降神谕,"The last days of the Qing Dynasty. The capital officials are confident that the reign can collapse at any moment. After a series of mysterious deaths of court ministers, the Emperor decides to conduct a sacred ritual of cleansing the heavens. At the same time, he instructs the only miraculously surviving minister Fucha Yuheng to find the killer and punish him. Fucha turns for help to his friend - Crazy So. King of Beggars .",Martial Champion Beggar So: Heaven’s Oracle
Shaolin Temple Death or Consequence,武僧,"Martial arts action film Wu Seng was made in commemoration of the 25th anniversary of Jet Li classic The Shaolin Temple. Set in the 14th century during the early years of the Ming Dynasty, Wu Seng stars Hong Kong action star Terry Fan Siu Wong as Shaolin-trained general Yang Wu. After Yongle usurped the throne from Emperor Jianwen, loyal general Yang Wu secretly rescued child prince Zhu Wenkui and placed him in the care of the Wenchang Temple. Ten years later, Wenkui has grown up to be a strong, young man and Yang Wu is ready to put his plans to overthrow Yongle into action. When the Emperor discovers the plot, however, he sends an army of assassins after Yang Wu and Wenkui. They flee to Dafo Temple where Yang and the temple's monks make their final stand against the emperor's men.",Martial Monk
Detective Dee and the Mystery of the Phantom Flame,狄仁傑之通天帝國,"When the future empress Wu Zetian's two courtiers die in a mysterious fire, she gets Di Renjie, a former detective and rebel, released from prison to solve the mystery of the fire.",Detective Dee and the Heavenly Empire
Records of East China Sea,东海异闻录,"In Ruoxi Ho's time, evil forces are rampant on the island of Palm Wild, where tens of thousands of Tian clansmen live. When Lin Yu (Liu Yanchen), a ranger, learns of this, he decides to return to the island to quell the turmoil and save the Tian clan, to whom he owes a debt of gratitude. On the way, Lin Yu meets a mysterious woman named Yu Lu (Shen Yu), whose identity is unknown.",Tales of the Eastern Sea
The Westward: The Kingdom of Shadow,西行纪之暗影魔城,"""The Westward: Shadow City"" tells the story that in order to control Tang Sanzang to seize the eternal fire, Moying, the lord of the Shadow City, used the ability of the magic city to satisfy all desires to lure Tang Sanzang's heart demon. In the end, Tang Sanzang overcame his inner demons and awakened again. He and his apprentices joined forces to defeat Moying, disintegrated the evil city that was the evil side, and embarked on the journey of saving the common people in the world again.",The Westward Chronicles: Shadow Demon City
"Crouching Tiger, Hidden Dragon",卧虎藏龍,"Two warriors in pursuit of a stolen sword and a notorious fugitive are led to an impetuous, physically-skilled, teenage nobleman's daughter, who is at a crossroads in her life.","Crouching Tiger, Hidden Dragon"
The Grandmaster of Kung Fu,霍元甲之精武天下,"A hero of government affairs, protect the world!  At the end of Qing Dynasty. Japan, which is trying to seize Tianjin, where even great powers cannot easily enter, and further devour China, opens the Honghua Military Academy in Tianjin and suppresses the Tianjin Martial Arts Association. Huo Yuan Jia, an expert in the field, engages in a life-threatening battle with Kamesaburo Takeda, a Japanese military commander in order to prevent Japan's ambitions.",Fearless: The Invincible World
Summer Palace,颐和园,"Yu Hong leaves her home village and starts university in Beijing, where she develops a consuming and compulsive relationship with another student. The student riots from 1989 then ensue and take a toll on their lives.",Summer Palace
Dragon,武俠,"A sinful martial arts expert wants to start a new tranquil life, only to be hunted by a determined detective and his former master.",Martial Arts Hero
Guard The Pass of Han,汉时关,"At the end of the Eastern Han Dynasty, Liu Qi, the son of Zhongliang, guarded a crumbling pass in the middle of the desert and declared his place ""refuge"". Various forces gathered here to achieve a strange balance. One day, Geng Zhong, a general of the Han army, arrives and breaks the rules of the refuge, and from then on, Liu Qi is pushed by a series of events to make a series of choices about death, family, friendship, love, family and country.",Han Frontier Pass
Fearless,霍元甲,"After going through a series of tragic events in his life, martial arts master Huo Yuanjia returns to Tianjin and must fight four international soldiers, in order to safeguard his nation's pride.",Huo Yuanjia
House of Flying Daggers,十面埋伏,"In 9th century China, a corrupt government wages war against a rebel army called the Flying Daggers. A romantic warrior breaks a beautiful rebel out of prison to help her rejoin her fellows, but things are not what they seem.",House of Flying Daggers
The Magic Blade,天涯明月刀,"24 years ago, ""God of Sabre"" Yang Changfeng was double-crossed and murdered by someone close to him.",The Moonlit Blade of the Horizon
Rise of the Legend,黄飞鸿之英雄有梦,"In 1868 during the late Qing Dynasty, rampant corruption on the Imperial Court inflicts much suffering in people's lives. For years, the Black Tiger’s fearsome boss Lei Gong has been trying to get rid of the leader of the Northern Sea. One of his latest recruits is Fei, a fearless fighter who takes the Northern Sea leader’s head after a fierce fight. Just as Lei Gong believes he has total control of the port, a new gang called the Orphans rises in power. Led by Fei’s childhood friend Huo, the Orphans are out to eliminate all the criminal power from the port…",Wong Fei-hung: A Hero’s Dream
Red Cliff,赤壁,"In 208 A.D., in the final days of the Han Dynasty, shrewd Prime Minster Cao convinced the fickle Emperor Han the only way to unite all of China was to declare war on the kingdoms of Xu in the west and East Wu in the south. Thus began a military campaign of unprecedented scale. Left with no other hope for survival, the kingdoms of Xu and East Wu formed an unlikely alliance.",Red Cliff
Red Cliff II,赤壁：決戰天下,"The battle of Red Cliff continues and the alliance between Xu and East Wu is fracturing.  With Cao Cao's massive forces on their doorstep, will the kingdoms of Xu and East Wu survive?",Red Cliff: Battle for the World
The Flowers of War,金陵十三釵,"A Westerner finds refuge with a group of women in a church during Japan's rape of Nanking in 1937. Posing as a priest, he attempts to lead the women to safety.",The Thirteen Hairpins of Jinling
Strange Case in Western Hunan,湘西诡案,"People from Xiangxi have a deep love for their homeland and a tradition of returning to their roots, like fallen leaves. Coupled with the rugged local geography, this gave rise to the profession of ""corpse drivers."" Long Qiyi and his apprentice Long Ping'an are renowned corpse drivers in the local town. Twenty years ago, Long Qiyi encountered the most dreaded situation for a corpse driver - a dead-end path. Twenty years later, with the appearance of a headless corpse, a series of eerie events began to occur in the town, and surprisingly, these events were connected to what Long Qiyi experienced while driving corpses twenty years ago...",The Strange Case in Xiangxi
Jiang Ziya,姜子牙,"Atop the ruins of war, top commander Jiang Ziya is given the task to banish the Nine-tailed Fox Demon who threatens all mortals' very existence. When he discovers the Nine-tailed Fox's life linked to the soul of an innocent girl, he is faced with a challenging decision: follow the will of heaven or find his own path to righteousness.",Jiang Ziya
Journey to the West: Conquering the Demons,西游·降魔篇,"In a world plagued by demons who cause great human suffering, young demon hunter Tang Sanzang must fight against monstrous demons, as well as contend with a beautiful demon hunting woman on his path to enlightenment.",Journey to the West: Conquering the Demons
Ip Man: Kung Fu Master,宗师叶问,Ip Man’s promising career as a Policeman is ruined after he is framed for murder and targeted by a mob boss’s daughter.,Master Ip Man
The Monkey King: Reborn,西游记之再世妖王,"When the irritable monkey king visits a temple together with his master Tang Monk, he feels offended because of a trifle and thereupon accidentally destroys a magic tree growing on the sacred ground. This brings an ancient demon king back to life, who promptly kidnaps Tang Monk to take revenge for his long imprisonment. The monkey king and his followers have only three days to not only save their master but also to prevent the demon king from regaining his full powers and destroying the world…",Journey to the West: Reborn Demon King
The Monkey King,西遊記之大鬧天宮,"Sun Wukong is a monkey born from a heavenly stone who acquires supernatural powers. After rebelling against heaven and being imprisoned under a mountain for 500 years, he later accompanies the monk Xuanzang on a journey to India. Thus, according to legend, Buddhism is brought to ancient China.",Journey to the West: Havoc in Heaven
White Snake,白蛇：缘起,"One day a young woman named Blanca is saved by Xuan, a snake catcher from a nearby village. She has lost her memory, and together they go on a journey to discover her real identity, developing deeper feelings for one another along the way. But as they learn more about her past, they uncover a darker plot of supernatural forces vying for power, with the fate of the world hanging in the balance.",White Snake: The Origin
Huang Feihong: The Black Yamen,黄飞鸿之黑衙门,"In the late Qing dynasty, foreigners are up to no good and the Qing government is weakening day by day. Under the cover of Eunuch Cao, the Guangzhou government colludes with gangs and foreigners, betrays the country to seek glory, and makes dirty money. When the humanitarian Huang Feihong learns about this, he petitions for the people and makes a scene at the government office. After a desperate struggle, he finally expels the foreign forces and eliminates the gangsters, punishing evil and promoting good, and protecting the family and the country!.",Wong Fei-hung: The Black Yamen
Immortal Demon Slayer,悟空傳,"A giant rebelled against the heavens. It was declared a devil and defeated. The immortal heart evolved into Sun Wukong. The heavens found him, and ravaged his home. He enters the heavenly kingdom, disguised as a human, seeking retribution.",The Legend of Wukong
True Legend,苏乞儿,"Su Qi-Er, a wealthy man living during the Qing Dynasty who loses his fortune and reputation as a result of a conspiracy against him. After being forced out onto the streets, Su dedicates his life to martial arts and reemerges as a patriotic hero known as the ""King of Beggars.""",Su Qi Er
Monkey King: Hero Is Back,西游记之大圣归来,"The all-powerful Monkey King once roamed freely between Heaven and Earth, but after angering the Gods, he was imprisoned within an ice cage deep within the mountains. 500 years later, monsters attack a small village and a child flees to the mountains. Unknowingly, the child releases the Monkey King from his curse. With the help and encouragement from this special child, Monkey King saves the village from the evil monsters.",Journey to the West: The Return of the Great Sage
"The Pig, the Snake and the Pigeon",周處除三害,"The arrogant, third most-wanted criminal in Taiwan, decides to get rid of the top two competitors and crowns himself the most-wanted criminal before dying.",Zhou Chu Eliminates Three Evils
The Great Dream of Liaozhai,大梦聊斋,"The film is adapted from the story of the second volume of ""Strange Tales from a Lonely Studio"" and ""Ying Ning"", which presents a stylish expression of the classic ghost legend. It tells the story of the demon-busting magician Prince Hsu (Huang Youtian) and Tang Wen (Li Xinze) who are entrusted with the task of creating a ""Demon Suppressing Divine Weapon"". In the process of tracking down the whereabouts of Gan Tie hammer, Prince Fu and Tang Wen discover Ying Ning's secret and start a fantasy love affair.......",The Great Dream of Liaozhai
The Yin-Yang Master: Dream of Eternity,晴雅集,"Every few hundred years, the most powerful demon on earth—a snake demon—awakens, and the Yin-Yang Masters are summoned to the capital. Meanwhile, the Princess of the realm has her own plans, as she conspires to claim the demon’s power.",Qing Ya Collection
Black Dog,狗阵,"On the edge of the Gobi desert in Northwest China, Lang returns to his hometown after being released from jail. While working for the local dog patrol team to clear the town of stray dogs before the Olympic Games, he strikes up an unlikely connection with a black dog. These two lonely souls embark on a journey together.",Dog Pack
GATAO: Big Brothers,角頭－鬥陣欸,"Michael and his right-hand man Scorpion, who find themselves embroiled in their father Ko's turf war against rival gangs in Taipei, setting off a conflict between old and new generations of gangsters. The film is the latest installment in the Gatao franchise, following the narrative of a young successor trying to expand his power while navigating the volatile underworld.",Gangleader – Fight Together
Hero,英雄,"During China's Warring States period, a district prefect arrives at the palace of Qin Shi Huang, claiming to have killed the three assassins who had made an attempt on the king's life three years ago.",Hero
周处除三嗨,周处除三嗨,,Zhou Chu Eliminates Three Hypes
Dongji Rescue,东极岛,"During WWII, in the waters near Zhoushan, China, a Japanese freighter carrying British POWs was sunk, leaving thousands trapped inside by the Japanese military. In this desperate situation, a group of fishermen from Dongji Island step forward without hesitation. Driven by their innate kindness, courage, and unyielding spirit, they brave the stormy seas to open a path of survival for the stranded prisoners.",East Pole Island
A Tale of Three Cities,三城记,"A former spy in the Chinese Nationalist Party falls for an opium-dealing widow, as China is ravaged by war and revolution.",Tale of Three Cities
Wushu,武术之少年行,A group of Wushu students stumble into a child kidnapping ring run by an alumnus.,Martial Arts: The Journey of Youth
Still Life,三峡好人,"A town in Fengjie county is gradually being demolished and flooded to make way for the Three Gorges Dam. A man and woman visit the town to locate their estranged spouses, and become witness to the societal changes.",Still Life
The Chinese Widow,烽火芳菲,"It’s 1941 and the Japanese attack on Pearl Harbor has destroyed America’s morale. The US President Franklin D. Roosevelt then decides to risk it all by bombing Tokyo and raise more hope for his citizens. After completing its mission, a unit of the US Air Force is forced to make an emergency landing in China. Its commander Jack Turner (Emilie Hirsch) barely survives but gets rescued by Ying (Crystal Liu), a local widow who will stop at nothing to hide him from the Japanese occupant.",Fires of Beauty
New Gods: Nezha Reborn,新神榜：哪吒重生,"While living as an ordinary deliveryman and motor racing fan, Nezha encounters old nemeses and must rediscover his powers to protect his loved ones.",New Gods: Nezha Reborn
The Promise,无极,"An orphaned girl, driven by poverty at such a young age, makes a promise with an enchantress. In return for beauty and the admiration of every man, she will never be with the man she loves. This spell cannot be broken unless the impossible happens: snow falling in spring and the dead coming back to life. Now a grown and beautiful princess, she regrets her promise, for all of the men she's loved has always been met with tragedy.",The Promise
A Year in the Clouds,司馬庫斯,"High in the mountains of Taiwan, is the remote village of Smangus. Inhabited by a unique group of indigenous people called the Tayal, Smangus is the only place in Taiwan that now practices common ownership of land and property. This is a place where nature and man have found balance. Now, witness every part of the lives of these people, through pain and joy, and experience the unique bonds formed with the ancient trees around them, in a film that documents A Year In The Clouds - a year amongst the sacred forests of this tribe.",Smangus
Master Of The Shadowless Kick: Wong Kei-Ying,擎天無影腳黃麒英,A quiet physician from southern China masters martial arts to protect his son and stop a corrupt governor.,Sky‑Shadow Kick Wong Kei‑Ying
Monster Hunt,捉妖记,Young monster kids try to make peace between the world of humans and the world of the monsters.,Monster Hunt
Sparkling Red Star,闪闪的红星 孩子的天空,"An animated remake of the 1974 children's movie ""Shan shan de hong xing""",Shining Red Star: The Sky of Children
Wonderful! Liang Xi Mei,旺得福梁细妹,"Liang Xi Mei (Jack Neo) is finally back! Having retired, Liang Xi Mei spends her time looking after her two obedient grandsons. However, Liang Xi Mei still leads a colorful life thanks to her absent-minded BFF Guang Dong Po (Wang Lei), who frequently muddles things up, leaving Liang Xi Mei to resolve the mess; and Lion King (Henry Thia) who is now diagnosed with mild Alzheimer’s, causing confusion and frustrations for everyone. Robert (Mark Lee), Liang Xi Mei’s eldest son also adds to her woes. Robert is a dreamer who often schemes to get rich quick. This causes Liang Xi Mei to find him unreliable and puts all her hopes on her youngest son Albert (Benjamin Josiah Tan). Her favoritism stirs up jealousy within Robert, who vows to strike it rich to win back Liang Xi Mei’s approval.",Wonderful Leung Si Mui
Saturday Fiction,兰心大剧院,"Iconic actress Jean Yu returns to Japanese-occupied China to star in a play directed by her former lover. However, her undercover work for the Allies soon places her life in grave danger.",Lyceum Theatre
The Sacrifice,金刚川,"In 1953 the Korean War is entering the final stage. The People's Volunteer Army of China has launched its last major battle in Kumsong. In order to arrive on time and deliver enough ammo to the Kumsong front line, the soldiers have to defend themselves against the never ending bombardments of enemy bombers and race against time to repair the last bridge, all while facing supply shortages and with inferior equipment.",The Golden Kong River
The Traveller,异人之下,"Zhang Chulan, who has been hiding his identity as an Inhuman, is caught up in the vortex of fighting between different Inhuman sects since he meets Feng Baobao, who has a mysterious background. As the secret that Zhang Chulan is the heir to the mysterious technique ""Air Body Source Stream"" is made public, the Inhuman world has started a fierce battle around him, with forces such as Nadutong, Quanxie Sect, Tianyi Sect, and so on appearing one by one and the battle is about to break out, but at this time, Zhang Chulan accidentally unveils the secret of the year....",Beyond the Stranger
Mulan Angels 2: Treasure Map,木兰特工之藏宝图,"There is Mulan Secret Service Organization and they’re Mulan second-generation female agents - Wei Xiaohua (played by Li Xianglin) and Mu Yi (played by Qiu Zixin) And He Zhaoyang (Zhu Hong) to carry out the task of fighting for the treasure map of burying nuclear waste and rare earths. He Zhaoyang tempted the pirate leader Dawton, who was holding a treasure map with her beauty, but almost fell into the trap set by Dawton and Mrs. J, the highest commander of the European Division of the Red Corpse Group. Fortunately, Wei Xiaohua was rescued in time, and with the help of the only surviving agent of the first generation, the only surviving agent of the first generation, Park Enxi",Mulan Agent: The Treasure Map
Youth,芳华,"A group of performing art troupe members each face their own trials and tribulations in Chengdu; from escaping a family scandal to dealing with unrequited love, each experiences rejection that shapes their lives.",Youth
Return to Lanruo Temple,兰若行者,"Soon after exorcist Yan Chixia (from ""Chinese Ghost Story"") retired, the Black Mountain monsters disturbed the surrounding area one more time, and experts from Kunlun sect could not even handle it. The messenger in the village trusted by Yan Chixia informed of the appearance of the dead soul flower and the strange apparitions around the village, and asked Yan Chixia for help. Yan Chixia did not follow the little monster's advice and decided to go out and investigate.",Lanruo Walker
160 Years Old,雨打芭蕉,"A father who cannot cure his own stubborn illness, a professor mother who struggles with existential questions, a son who is confused and precocious, a giant tortoise that suddenly leaves, and a sentimental grandfather who passed away. The uncle cannot finish reading THE OLD MAN AND THE SEA. The aunt won't get married. The grandfather is his own daughter's enemy. The uncle does not want to return from the Philippines. And an unborn child. Summer goes, and autumn comes. Things remain, but people change.",Rain Beating on Banana Leaves
The Iron Coffin of Western Xia,洗冤录之西夏铁棺,"The King of Western Xia has a precious garment called ""Bi Lu"", which is said to be able to help mortals to ascend to immortality. The emperor is furious and orders Song Ci to find out the truth, whether it is the Western Xia that has the intention to rebel or whether it is really the treasure clothes that hook the soul.",The Record of Washing Away Wrongs: The Iron Coffin of Western Xia
White Snake: Afloat,白蛇：浮生,"Xiaobai finally found Xu Xian, the reincarnation of Axuan, after 500 years, the two met on the Broken Bridge. Xiaobai and sister hid in the streets and alleys, started a lively life in human world with him and his brother-in-law Li Gongfu.",White Snake: Floating Life
The Fatality,絕魂印,"Somehow, a mentally disturbed 30-year-old man from Taipei finds himself waking up out of a coma in a hospital in a small coastal town in Thailand.  A woman is at his bedside, calling him Assanee. But that's not his name. His name is Her Sue Yong. And besides, he can't speak Thai. He leaps from his bed and runs, and the nurses give chase.  In Taiwan, he was a bedraggled, long-haired scavenger. He had a disfigured face. But in Thailand, the skin on his face is smooth and his hair is short. He's a clean-cut young man with a beautiful wife. And he has a job as a civil servant in a government office. His inability to speak Thai is no problem at work. Heck, there's even a deaf-mute on the staff. All Assanee has to do is wait for people to hand him forms, and he stamps them. Seems easy enough.",Seal of the Lost Soul
The Myth,神話,"When a fellow scientist asks for Jack's help in locating the mausoleum of China's first emperor, the past collides violently with the present as Jack discovers his amazing visions are based in fact.",The Myth
Free as Love,浮生若夢,"Little Three was originally a cheerful and full of sense of the girl, since cousin Xiaoying  to save her into the sea after they began to banish themselves, but also redefine the weight of the feelings. Xiao Tai. As a matter of skill, a police academy was arranged to the undercover society, in her kind heart, there has always been the right and wrong contradictions and struggles. Fight, in her lost world, became her only emotional outlet.",Life Like a Dream
Taishan Kung Fu,泰山功夫,"Liu Wenhu, the owner of the Liu's Martial Arts Hall in Mount Tai, sets up competitions every year with big money as bait. For several years in a row, he defeated the martial arts masters who came to challenge. So he dominated the country, ran rampant in the village, oppressed the people, and seized the people's daughters. Shi Xiaoyi, the successor of Taishan Stone Art, saw it in his eyes and was angry in his heart.",Tarzan Kung Fu
The Ghost Story: Lin Suk,聊齋艷譚：连锁,"In the latest version of ""Liao Zhai: Lian Suo"" released in 2014, the scholar Yang Ziwei met Lian Suo at a cemetery. The two did not do that, but wrote poems and painted every night. His friend Xue Sheng learned that Yang Ziwei had a woman with him every night, so he brought his friends to visit Yang's house, which frightened Lian Suo so much that she dared not show up. Yang asked Lian Suo for forgiveness. Later, Lian Suo cried and complained that an evil ghost wanted to force her to be a concubine. Yang fought the evil ghost with a sword in her dream. At the critical moment, she and a warrior named Wang shot the evil ghost to death. Yang and Lian Suo were together every day. One day, Lian told Yang that because she had been eating cooked food and receiving human breath for a long time after she died, her bones had become alive and she had the conditions for resurrection, but she had to have sex with Yang. However, Yang would definitely get a serious illness.",ERROR: API returned empty or unexpected response.
The Warlords,投名狀,The civil war in China has ruined many lives including General Pang's. A wounded General Pang is saved by a beautiful young woman along with two other men. Together they vow to eradicate the rebels.,The Oath
Reign of Assassins,剑雨,"Set in ancient China, Zeng Jing is a skilled assassin who finds herself in possession of a mystical Buddhist monk's remains. She begins a quest to return the remains to its rightful resting place, and thus places herself in mortal danger because a team of assassins is in a deadly pursuit to possess the remains which holds an ancient power-wielding secret.",Sword Rain
Ma Yongzhen: Duel in Zhabei,马永贞之闸北决,"This film tells the story of Ma Yongzhen, who was born in a family of martial arts in the early years of the Republic of China. In order to help the people of Shanghai's Zhabei district, Teacher Ma ventured into danger alone, relying on his martial arts and a fiery patriotic heart to fight the Five Lakes Gang and the French martial artists.",Ma Yongzhen: The Battle of Zhabei
Nine Colors Deer King,九色鹿王·前尘,"Huanyi Village had a strange disease rampant. Under the guidance of Elder Xi, the mountain guardian Changsheng searched for medicinal herbs for the villagers, but this was inefficient and dangerous, so Changsheng decided to find the legendary Nine-color Deer King to save the village; In the middle of the story, the demon queen strayed to control the palace and sought the trace of the nine-colored deer king in order to practice sorcery",The King of Nine-Colored Deer: Past Dust
Iron Kung Fu Fist,广东十虎：铁拳无敌,"Liang Kun has been practicing Shaolin kung fu for years. To protect his beloved, he vows not to interfere with matters of the martial arts world. But then, the person he loves the most dies tragically as a result. Finally grasping the true meaning of the martial arts world, Liang Kun decides to fight various groups of bandits in order to avenge his beloved.",Guangdong Ten Tigers: Invincible Iron Fist
